iter	Passed	Remaining
178	254	1167
179	255	1161
180	255	1156
181	256	1151
182	256	1146
183	257	1141
184	257	1136
185	258	1131
186	259	1126
187	259	1121
188	260	1117
189	260	1112
190	261	1107
191	262	1103
192	262	1098
193	263	1094
194	263	1089
195	264	1085
196	265	1080
197	265	1075
198	266	1071
199	266	1066
200	267	1062
201	267	1058
202	268	1054
203	269	1050
204	269	1045
205	270	1041
206	270	1037
207	271	1032
208	271	1028
209	272	1024
210	273	1020
211	273	1016
212	274	1012
213	274	1008
214	275	1005
215	275	1001
216	276	997
217	276	993
218	277	989
219	277	985
220	278	982
221	279	979
222	280	975
223	280	972
224	281	969
225	282	966
226	282	962
227	283	959
228	284	957
229	284	953
230	285	950
231	286	947
232	287	944
233	287	941
234	288	938
235	289	935
236	289	932
237	290	929
238	290	925
239	291	921
240	291	918
241	292	915
242	292	911
243	293	908
244	293	904
245	294	901
246	294	898
247	295	895
248	295	892
249	296	889
250	296	886
251	297	882
252	297	879
253	298	876
254	298	873
255	299	870
256	299	867
257	300	864
258	301	861
259	301	858
260	302	855
261	302	852
262	303	850
263	303	847
264	304	844
265	305	842
266	305	839
267	306	837
268	307	834
269	307	831
270	308	828
271	308	826
272	309	823
273	309	820
274	310	817
275	310	815
276	311	812
277	311	810
278	312	807
279	312	804
280	313	801
281	313	799
282	314	796
283	315	794
284	315	792
285	316	789
286	316	787
287	317	785
288	318	782
289	318	780
290	319	777
291	319	775
292	320	772
293	320	770
294	321	768
295	322	765
296	322	763
297	323	760
298	323	758
299	324	756
300	324	753
301	325	751
302	325	749
303	326	746
304	326	744
305	327	742
306	328	740
307	328	738
308	329	736
309	329	734
310	330	732
311	331	730
312	331	727
313	332	726
314	332	723
315	333	721
316	333	719
317	334	717
318	335	715
319	335	713
320	336	711
321	336	708
322	337	706
323	337	705
324	338	702
325	338	700
326	339	698
327	340	696
328	340	694
329	341	692
330	341	690
331	342	688
332	342	686
333	343	684
334	344	682
335	344	680
336	345	679
337	345	676
338	346	675
339	346	672
340	347	670
341	347	669
342	348	667
343	348	665
344	349	663
345	349	661
346	350	659
347	350	657
348	351	655
349	351	653
350	352	651
351	352	649
352	353	647
353	353	645
354	354	643
355	354	641
356	356	641
357	356	639
358	357	637
359	357	635
360	357	633
361	358	631
362	359	630
363	359	628
364	360	627
365	361	625
366	361	624
367	362	622
368	363	620
369	363	619
370	364	617
371	365	616
372	365	614
373	366	613
374	367	611
375	367	610
376	368	608
377	368	607
378	369	605
379	370	604
380	370	602
381	371	601
382	372	599
383	372	597
384	373	596
385	373	594
386	374	593
387	375	591
388	375	590
389	376	588
390	376	587
391	377	585
392	378	583
393	378	582
394	379	580
395	379	579
396	380	577
397	381	576
398	381	574
399	382	573
400	382	571
401	383	570
402	383	568
403	384	567
404	384	565
405	385	563
406	385	562
407	386	560
408	387	559
409	387	557
410	388	556
411	388	555
412	389	553
413	390	552
414	390	550
415	391	549
416	391	547
417	392	546
418	392	544
419	393	543
420	394	541
421	394	540
422	395	539
423	395	537
424	396	536
425	396	534
426	397	533
427	398	532
428	398	530
429	399	529
430	400	528
431	400	526
432	401	525
433	402	524
434	402	523
435	403	521
436	404	520
437	404	519
438	405	517
439	405	516
440	406	515
441	407	514
442	407	512
443	408	511
444	409	510
445	409	509
446	410	507
447	411	506
448	412	505
449	412	504
450	413	503
451	413	501
452	414	500
453	414	498
454	415	497
455	415	495
456	416	494
457	416	493
458	417	491
459	417	490
460	418	489
461	419	487
462	419	486
463	420	485
464	420	483
465	421	482
466	421	481
467	421	479
468	422	478
469	423	477
470	423	475
471	424	474
472	424	473
473	425	471
474	425	470
475	426	469
476	426	467
477	427	466
478	427	465
479	428	463
480	428	462
481	429	461
482	429	460
483	430	458
484	430	457
485	431	456
486	431	454
487	432	453
488	432	452
489	433	450
490	433	449
491	434	448
492	434	447
493	435	446
494	435	444
